ID,Goods,,,
55,融化奶酪,,,米粮调料
55,苏打,,,非酒精饮料
55,全脂牛奶,,,非酒精饮料
55,酸奶,,,食品类
56,凝乳,,,米粮调料
56,糕点,,,西点
56,全脂牛奶,,,非酒精饮料
56,酸奶,,,食品类
57,黑面包,,,西点
57,罐装啤酒,,,酒精饮料
57,包装水果/蔬菜,,,果蔬
58,瓶装水,,,非酒精饮料
58,口香糖,,,零食
58,巧克力棉花糖,,,零食
58,卫生用品,,,百货
58,餐巾,,,百货
58,油,,,米粮调料
58,面包卷,,,西点
59,牛肉,,,肉类
59,猫食,,,百货
59,火腿,,,肉类
59,冰淇淋,,,零食
59,面包卷,,,西点
59,酸奶油,,,米粮调料
60,糕点,,,西点
60,面包卷,,,西点
60,糖,,,米粮调料
61,罐头鱼,,,米粮调料
61,一般清洁剂,,,百货
61,冷冻蔬菜,,,果蔬
61,其他蔬菜,,,果蔬
61,咸点心,,,西点
61,季节性商品,,,百货
61,全脂牛奶,,,非酒精饮料
62,糕点,,,西点
62,香肠,,,肉类
63,牛肉,,,肉类
63,香肠,,,肉类
63,全脂牛奶,,,非酒精饮料
64,黑面包,,,西点
64,冷冻热狗肠,,,肉类
64,面包卷,,,西点
64,糖,,,米粮调料
64,热带水果,,,果蔬
65,糕点,,,西点
65,面包卷,,,西点
65,苏打,,,非酒精饮料
66,全脂牛奶,,,非酒精饮料
67,咖啡,,,非酒精饮料
67,凝乳酪,,,西点
68,报纸,,,百货
68,粉红葡萄酒,,,酒精饮料
69,凝乳,,,米粮调料
69,香肠,,,肉类
69,全脂牛奶,,,非酒精饮料
70,莓果,,,果蔬
70,巧克力,,,零食
70,冷冻土豆制品,,,果蔬
70,腌菜,,,Types
70,仁果类水果,,,果蔬
70,面包卷,,,西点
70,热带水果,,,果蔬
70,全脂牛奶,,,非酒精饮料
71,粉红葡萄酒,,,酒精饮料
72,黄油,,,米粮调料
72,蜡烛,,,百货
72,花卉种子,,,百货
72,人造黄油,,,米粮调料
72,特色巧克力,,,食品类
72,特色油脂,,,米粮调料
72,全脂牛奶,,,非酒精饮料
73,柑橘类水果,,,果蔬
73,本地蛋类,,,肉类
73,冷冻热狗肠,,,肉类
73,报纸,,,百货
73,油,,,米粮调料
73,起泡酒,,,酒精饮料
73,特色巧克力,,,食品类
73,全脂牛奶,,,非酒精饮料
74,肉泥,,,肉类
74,苏打,,,非酒精饮料
74,全脂牛奶,,,非酒精饮料
75,冷冻土豆制品,,,果蔬
76,其他蔬菜,,,果蔬
76,面包卷,,,西点
76,糖,,,米粮调料
76,全脂牛奶,,,非酒精饮料
77,酪,,,西点
77,柑橘类水果,,,果蔬
77,凝乳,,,米粮调料
77,糕点,,,西点
77,全脂牛奶,,,非酒精饮料
78,瓶装啤酒,,,酒精饮料
78,瓶装水,,,非酒精饮料
78,面粉,,,米粮调料
78,水果/蔬菜汁,,,非酒精饮料
78,盐,,,米粮调料
79,瓶装啤酒,,,酒精饮料
79,瓶装水,,,非酒精饮料
79,苏打,,,非酒精饮料
79,糖,,,米粮调料
80,咖啡,,,非酒精饮料
80,冷冻餐饭,,,米粮调料
81,巧克力,,,零食
82,浴室清洁剂,,,百货
82,罐头蔬菜,,,米粮调料
82,本地蛋类,,,肉类
82,冷冻蔬菜,,,果蔬
82,水果/蔬菜汁,,,非酒精饮料
82,人造黄油,,,米粮调料
82,油,,,米粮调料
82,面包卷,,,西点
82,根茎类蔬菜,,,果蔬
82,全脂牛奶,,,非酒精饮料
83,冷冻蔬菜,,,果蔬
83,硬奶酪,,,西点
83,洋葱,,,果蔬
83,根茎类蔬菜,,,果蔬
84,蜡烛,,,百货
84,炼乳,,,米粮调料
84,冷冻蔬菜,,,果蔬
84,香草,,,米粮调料
84,油,,,米粮调料
84,盐,,,米粮调料
84,白酒,,,酒精饮料
85,瓶装水,,,非酒精饮料
86,白兰地,,,酒精饮料
86,一般清洁剂,,,百货
86,洋葱,,,果蔬
86,面包卷,,,西点
86,根茎类蔬菜,,,果蔬
86,香肠,,,肉类
86,酸奶,,,食品类
87,咖啡,,,非酒精饮料
87,报纸,,,百货
88,其他蔬菜,,,果蔬
88,猪肉,,,肉类
88,酸奶油,,,米粮调料
89,莓果,,,果蔬
89,酸奶,,,食品类
90,苏打,,,非酒精饮料
91,莓果,,,果蔬
92,蜡烛,,,百货
92,水果/蔬菜汁,,,非酒精饮料
92,咸点心,,,西点
93,酪,,,西点
93,柑橘类水果,,,果蔬
93,奶油乳酪,,,西点
93,酸奶,,,食品类
94,莓果,,,果蔬
94,巧克力,,,零食
94,柑橘类水果,,,果蔬
94,咖啡,,,非酒精饮料
94,汉堡肉,,,肉类
94,洋葱,,,果蔬
94,猪肉,,,肉类
94,白饭,,,熟食
94,酸奶油,,,米粮调料
95,一般清洁剂,,,百货
96,葡萄,,,果蔬
96,相片/膜,,,百货
97,黑面包,,,西点
97,罐装啤酒,,,酒精饮料
97,水果/蔬菜汁,,,非酒精饮料
97,粉红葡萄酒,,,酒精饮料
97,面包卷,,,西点
97,香肠,,,肉类
97,购物袋,,,百货
97,切片奶酪,,,西点
97,威化饼,,,西点
98,黄油,,,米粮调料
98,鸡,,,肉类
98,柑橘类水果,,,果蔬
98,一般清洁剂,,,百货
98,汉堡肉,,,肉类
98,油,,,米粮调料
98,其他蔬菜,,,果蔬
98,意大利面,,,熟食
98,根茎类蔬菜,,,果蔬
98,热带水果,,,果蔬
99,黑面包,,,西点
99,全脂牛奶,,,非酒精饮料
99,酸奶,,,食品类
100,柑橘类水果,,,果蔬
100,热带水果,,,果蔬
101,其他饮料,,,非酒精饮料
101,苏打,,,非酒精饮料
102,浴室清洁剂,,,百货
102,葡萄,,,果蔬
102,糕点,,,西点
102,猪肉,,,肉类
102,面包卷,,,西点
102,香肠,,,肉类
102,苏打,,,非酒精饮料
102,特制门锁,,,百货
102,全脂牛奶,,,非酒精饮料
103,瓶装水,,,非酒精饮料
103,冷冻热狗肠,,,肉类
103,面包卷,,,西点
104,瓶装啤酒,,,酒精饮料
104,咖啡,,,非酒精饮料
104,水果/蔬菜汁,,,非酒精饮料
104,餐巾,,,百货
104,相片/膜,,,百货
104,香肠,,,肉类
104,购物袋,,,百货
104,柔软剂,,,百货
104,全脂牛奶,,,非酒精饮料
104,酸奶,,,食品类
105,苏打,,,非酒精饮料
106,水果/蔬菜汁,,,非酒精饮料
106,面包卷,,,西点
107,牛肉,,,肉类
107,莓果,,,果蔬
107,黑面包,,,西点
107,柑橘类水果,,,果蔬
107,一般清洁剂,,,百货
107,根茎类蔬菜,,,果蔬
108,糖果,,,零食
108,保鲜膜/袋,,,百货
108,面包卷,,,西点
108,苏打,,,非酒精饮料
108,威化饼,,,西点
108,酸奶油,,,米粮调料
108,全脂牛奶,,,非酒精饮料
109,融化奶酪,,,米粮调料
110,仁果类水果,,,果蔬
110,热带水果,,,果蔬
111,瓶装啤酒,,,酒精饮料
111,口香糖,,,零食
111,碗碟,,,百货
111,冷冻热狗肠,,,肉类
111,油,,,米粮调料
111,其他蔬菜,,,果蔬
111,腌菜,,,Types
111,面包卷,,,西点
111,根茎类蔬菜,,,果蔬
111,香肠,,,肉类
112,瓶装水,,,非酒精饮料
112,包装水果/蔬菜,,,果蔬
113,瓶装水,,,非酒精饮料
113,甜点,,,西点
113,冷冻蔬菜,,,果蔬
113,人造黄油,,,米粮调料
113,报纸,,,百货
113,粉红葡萄酒,,,酒精饮料
113,面包卷,,,西点
113,全脂牛奶,,,非酒精饮料
114,莓果,,,果蔬
114,酸奶油,,,米粮调料
115,莓果,,,果蔬
115,柑橘类水果,,,果蔬
115,融化奶酪,,,米粮调料
115,超高温杀菌的牛奶,,,非酒精饮料
116,热带水果,,,果蔬
116,全脂牛奶,,,非酒精饮料
116,酸奶,,,食品类
117,瓶装啤酒,,,酒精饮料
117,冷冻蔬菜,,,果蔬
117,汉堡肉,,,肉类
117,面包卷,,,西点
117,起泡酒,,,酒精饮料
117,全脂牛奶,,,非酒精饮料
118,碗碟,,,百货
118,本地蛋类,,,肉类
118,冷冻蔬菜,,,果蔬
118,汉堡肉,,,肉类
118,其他蔬菜,,,果蔬
118,苏打,,,非酒精饮料
118,全脂牛奶,,,非酒精饮料
119,奶油乳酪,,,西点
119,苏打,,,非酒精饮料
119,全脂牛奶,,,非酒精饮料
120,咖啡,,,非酒精饮料
120,鱼,,,肉类
120,长面包,,,非酒精饮料
120,男性化妆品,,,百货
120,人造黄油,,,米粮调料
120,其他蔬菜,,,果蔬
120,糕点,,,西点
120,购物袋,,,百货
121,冷冻热狗肠,,,肉类
121,长面包,,,非酒精饮料
121,香肠,,,肉类
121,威化饼,,,西点
122,罐装啤酒,,,酒精饮料
122,甜点,,,西点
122,包装水果/蔬菜,,,果蔬
122,半成品面包,,,西点
123,糕点,,,西点
123,苏打,,,非酒精饮料
124,其他蔬菜,,,果蔬
124,粉红葡萄酒,,,酒精饮料
125,其他饮料,,,非酒精饮料
126,罐装水果,,,米粮调料
126,柑橘类水果,,,果蔬
126,奶油乳酪,,,西点
126,本地蛋类,,,肉类
126,冷冻热狗肠,,,肉类
126,水果/蔬菜汁,,,非酒精饮料
126,硬奶酪,,,西点
126,卫生用品,,,百货
126,其他饮料,,,非酒精饮料
126,仁果类水果,,,果蔬
126,白饭,,,熟食
126,香肠,,,肉类
126,糖,,,米粮调料
126,热带水果,,,果蔬
126,全脂牛奶,,,非酒精饮料
127,起泡酒,,,酒精饮料
128,特制门锁,,,百货
129,酪,,,西点
129,面包卷,,,西点
129,香肠,,,肉类
130,凝乳酪,,,西点
131,甜点,,,西点
131,冷冻热狗肠,,,肉类
132,一般饮料,,,非酒精饮料
132,黑面包,,,西点
132,购物袋,,,百货
132,全脂牛奶,,,非酒精饮料
132,酸奶,,,食品类
133,报纸,,,百货
134,莓果,,,果蔬
134,苏打,,,非酒精饮料
135,凝乳,,,米粮调料
135,面粉,,,米粮调料
135,开胃酒,,,酒精饮料
136,咖啡,,,非酒精饮料
136,其他蔬菜,,,果蔬
136,热带水果,,,果蔬
137,苏打,,,非酒精饮料
138,即食食品,,,熟食
138,面包卷,,,西点
139,罐装啤酒,,,酒精饮料
140,罐装啤酒,,,酒精饮料
141,冷冻热狗肠,,,肉类
141,人造黄油,,,米粮调料
141,面包卷,,,西点
141,香肠,,,肉类
141,全脂牛奶,,,非酒精饮料
142,罐装啤酒,,,酒精饮料
142,其他饮料,,,非酒精饮料
142,其他蔬菜,,,果蔬
143,冷冻蔬菜,,,果蔬
143,全脂牛奶,,,非酒精饮料
144,全脂牛奶,,,非酒精饮料
145,黄油,,,米粮调料
145,柑橘类水果,,,果蔬
145,奶油乳酪,,,西点
145,人造黄油,,,米粮调料
145,报纸,,,百货
145,油,,,米粮调料
145,白面包,,,西点
146,冷冻热狗肠,,,肉类
146,面包卷,,,西点
147,发酵粉,,,米粮调料
147,冷冻热狗肠,,,肉类
147,冷冻蔬菜,,,果蔬
147,火腿,,,肉类
147,其他蔬菜,,,果蔬
147,仁果类水果,,,果蔬
147,面包卷,,,西点
147,软奶酪,,,西点
147,糖,,,米粮调料
147,全脂牛奶,,,非酒精饮料
148,酪,,,西点
148,一般清洁剂,,,百货
148,蜜糖,,,米粮调料
148,苏打,,,非酒精饮料
148,酸奶,,,食品类
149,瓶装水,,,非酒精饮料
149,柑橘类水果,,,果蔬
149,牙齿保健用品,,,百货
149,汉堡肉,,,肉类
149,洋葱,,,果蔬
149,面包卷,,,西点
150,意大利面,,,熟食
150,爆米花,,,零食
151,风味蛋糕,,,西点
151,巧克力,,,零食
151,肉泥,,,肉类
151,其他蔬菜,,,果蔬
151,购物袋,,,百货
151,全脂牛奶,,,非酒精饮料
152,蜡烛,,,百货
152,柑橘类水果,,,果蔬
152,甜点,,,西点
152,碗碟,,,百货
152,猪肉,,,肉类
152,香肠,,,肉类
152,白面包,,,西点
153,面包卷,,,西点
154,凝乳,,,米粮调料
154,甜点,,,西点
154,葡萄,,,果蔬
154,餐巾,,,百货
154,其他蔬菜,,,果蔬
154,酸奶,,,食品类
155,一般饮料,,,非酒精饮料
155,瓶装啤酒,,,酒精饮料
155,冷冻蔬菜,,,果蔬
155,水果/蔬菜汁,,,非酒精饮料
155,其他蔬菜,,,果蔬
155,根茎类蔬菜,,,果蔬
155,软奶酪,,,西点
155,全脂牛奶,,,非酒精饮料
155,酸奶,,,食品类
156,咖啡,,,非酒精饮料
156,购物袋,,,百货
157,爆米花,,,零食
158,瓶装水,,,非酒精饮料
158,面包卷,,,西点
158,苏打,,,非酒精饮料
158,糖,,,米粮调料
158,全脂牛奶,,,非酒精饮料
159,其他蔬菜,,,果蔬
159,包装水果/蔬菜,,,果蔬
159,小吃类食品,,,熟食
159,热带水果,,,果蔬
159,全脂牛奶,,,非酒精饮料
160,牛肉,,,肉类
160,保鲜膜/袋,,,百货
160,面粉,,,米粮调料
160,花土/肥料,,,百货
160,香草,,,米粮调料
161,黄油,,,米粮调料
161,甜点,,,西点
161,面包卷,,,西点
161,全脂牛奶,,,非酒精饮料
162,口香糖,,,零食
162,冷冻热狗肠,,,肉类
162,苏打,,,非酒精饮料
163,瓶装水,,,非酒精饮料
163,特色奶酪,,,西点
163,热带水果,,,果蔬
164,罐装啤酒,,,酒精饮料
165,瓶装啤酒,,,酒精饮料
165,成品,,,熟食
165,冷冻蔬菜,,,果蔬
165,其他蔬菜,,,果蔬
166,一般饮料,,,非酒精饮料
166,苏打,,,非酒精饮料
167,汉堡肉,,,肉类
167,根茎类蔬菜,,,果蔬
167,全脂牛奶,,,非酒精饮料
168,长面包,,,非酒精饮料
168,糕点,,,西点
168,全脂牛奶,,,非酒精饮料
169,成品,,,熟食
169,购物袋,,,百货
169,白酒,,,酒精饮料
170,其他蔬菜,,,果蔬
171,瓶装啤酒,,,酒精饮料
171,黑面包,,,西点
171,水果/蔬菜汁,,,非酒精饮料
171,火腿,,,肉类
171,其他蔬菜,,,果蔬
171,热带水果,,,果蔬
171,白面包,,,西点
171,全脂牛奶,,,非酒精饮料
172,其他蔬菜,,,果蔬
173,酪,,,西点
173,可可饮料,,,非酒精饮料
173,凝乳,,,米粮调料
173,爆米花,,,零食
173,咸点心,,,西点
174,瓶装啤酒,,,酒精饮料
175,风味蛋糕,,,西点
175,巧克力,,,零食
175,凝乳,,,米粮调料
175,甜点,,,西点
175,咸点心,,,西点
175,购物袋,,,百货
175,苏打,,,非酒精饮料
175,威化饼,,,西点
176,谷物,,,米粮调料
176,奶油乳酪,,,西点
176,狗粮,,,百货
176,全脂牛奶,,,非酒精饮料
177,盐,,,米粮调料
177,全脂牛奶,,,非酒精饮料
178,甜点,,,西点
178,冰淇淋,,,零食
179,咖啡,,,非酒精饮料
179,香肠,,,肉类
179,软奶酪,,,西点
180,瓶装水,,,非酒精饮料
180,碗碟,,,百货
180,其他蔬菜,,,果蔬
180,购物袋,,,百货
180,威化饼,,,西点
181,火腿,,,肉类
181,面包卷,,,西点
181,全脂牛奶,,,非酒精饮料
182,冰淇淋,,,零食
182,其他蔬菜,,,果蔬
183,瓶装水,,,非酒精饮料
183,其他蔬菜,,,果蔬
184,瓶装啤酒,,,酒精饮料
184,普罗赛克葡萄酒,,,酒精饮料
184,苏打,,,非酒精饮料
184,白酒,,,酒精饮料
185,糖果,,,零食
185,香草,,,米粮调料
186,瓶装啤酒,,,酒精饮料
186,黄油,,,米粮调料
186,谷物,,,米粮调料
186,奶油乳酪,,,西点
186,凝乳,,,米粮调料
186,本地蛋类,,,肉类
186,冷冻热狗肠,,,肉类
186,冷冻鱼,,,肉类
186,冷冻餐饭,,,米粮调料
186,水果/蔬菜汁,,,非酒精饮料
186,火腿,,,肉类
186,其他蔬菜,,,果蔬
186,仁果类水果,,,果蔬
186,根茎类蔬菜,,,果蔬
186,切片奶酪,,,西点
186,软奶酪,,,西点
186,糖,,,米粮调料
186,热带水果,,,果蔬
186,威化饼,,,西点
186,酸奶油,,,米粮调料
186,白面包,,,西点
186,全脂牛奶,,,非酒精饮料
186,酸奶,,,食品类
187,罐装啤酒,,,酒精饮料
187,面包卷,,,西点
188,风味蛋糕,,,西点
188,奶油乳酪,,,西点
188,凝乳,,,米粮调料
188,半成品面包,,,西点
188,购物袋,,,百货
188,特制门锁,,,百货
188,面包干,,,西点
189,冷冻热狗肠,,,肉类
189,人造黄油,,,米粮调料
189,购物袋,,,百货
189,水果奶油涂抹酱,,,米粮调料
189,热带水果,,,果蔬
189,全脂牛奶,,,非酒精饮料
190,其他蔬菜,,,果蔬
191,狗粮,,,百货
192,特制门锁,,,百货
193,凝乳,,,米粮调料
193,一般清洁剂,,,百货
193,开胃酒,,,酒精饮料
193,盐,,,米粮调料
193,购物袋,,,百货
194,冷冻热狗肠,,,肉类
194,面包卷,,,西点
195,苏打,,,非酒精饮料
196,牛肉,,,肉类
196,莓果,,,果蔬
196,黑面包,,,西点
196,甜点,,,西点
196,根茎类蔬菜,,,果蔬
196,水果奶油涂抹酱,,,米粮调料
196,全脂牛奶,,,非酒精饮料
197,罐装啤酒,,,酒精饮料
198,牛肉,,,肉类
198,香草,,,米粮调料
198,仁果类水果,,,果蔬
198,猪肉,,,肉类
198,香辛料,,,米粮调料
199,柑橘类水果,,,果蔬
199,冷冻热狗肠,,,肉类
199,人造黄油,,,米粮调料
199,糖,,,米粮调料
199,超高温杀菌的牛奶,,,非酒精饮料
200,瓶装啤酒,,,酒精饮料
200,开胃酒,,,酒精饮料
200,香肠,,,肉类
201,罐装啤酒,,,酒精饮料
202,特色巧克力,,,食品类
203,凝乳,,,米粮调料
203,面包卷,,,西点
204,罐装啤酒,,,酒精饮料
205,瓶装水,,,非酒精饮料
205,报纸,,,百货
205,全脂牛奶,,,非酒精饮料
206,口香糖,,,零食
206,面包卷,,,西点
207,碗碟,,,百货
207,其他蔬菜,,,果蔬
207,猪肉,,,肉类
207,根茎类蔬菜,,,果蔬
207,全脂牛奶,,,非酒精饮料
208,柑橘类水果,,,果蔬
208,糕点,,,西点
209,盆栽,,,百货
210,糕点,,,西点
210,面包卷,,,西点
210,苏打,,,非酒精饮料
211,瓶装水,,,非酒精饮料
211,黄油,,,米粮调料
211,卫生用品,,,百货
211,卸妆液,,,百货
211,苏打,,,非酒精饮料
211,酸奶,,,食品类
212,咖啡,,,非酒精饮料
212,炼乳,,,米粮调料
212,购物袋,,,百货
212,糖,,,米粮调料
213,其他蔬菜,,,果蔬
213,香肠,,,肉类
213,购物袋,,,百货
213,苏打,,,非酒精饮料
213,酸奶,,,食品类
214,一般饮料,,,非酒精饮料
214,苏打,,,非酒精饮料
214,超高温杀菌的牛奶,,,非酒精饮料
214,全脂牛奶,,,非酒精饮料
215,牛肉,,,肉类
215,人造黄油,,,米粮调料
215,猪肉,,,肉类
215,面包卷,,,西点
215,香肠,,,肉类
215,全脂牛奶,,,非酒精饮料
216,一般饮料,,,非酒精饮料
217,一般饮料,,,非酒精饮料
217,特制门锁,,,百货
218,瓶装水,,,非酒精饮料
218,水果/蔬菜汁,,,非酒精饮料
219,报纸,,,百货
220,清洁工具,,,百货
220,女性卫生用品,,,百货
221,报纸,,,百货
221,香肠,,,肉类
221,购物袋,,,百货
221,苏打,,,非酒精饮料
222,报纸,,,百货
223,牛肉,,,肉类
223,一般饮料,,,非酒精饮料
223,酪,,,西点
223,柑橘类水果,,,果蔬
223,炊具,,,百货
223,厨房清洁剂,,,百货
223,硬奶酪,,,西点
223,其他蔬菜,,,果蔬
223,面包卷,,,西点
223,香肠,,,肉类
223,酸奶油,,,米粮调料
223,全脂牛奶,,,非酒精饮料
224,其他饮料,,,非酒精饮料
224,报纸,,,百货
225,白酒,,,酒精饮料
226,罐装啤酒,,,酒精饮料
226,面包卷,,,西点
226,香肠,,,肉类
226,购物袋,,,百货
226,切片奶酪,,,西点
226,苏打,,,非酒精饮料
227,瓶装啤酒,,,酒精饮料
227,风味蛋糕,,,西点
227,凝乳,,,米粮调料
227,一般肉类,,,肉类
228,发酵粉,,,米粮调料
228,保鲜膜/袋,,,百货
228,冷冻热狗肠,,,肉类
228,一般肉类,,,肉类
228,油,,,米粮调料
228,洋葱,,,果蔬
228,茶,,,非酒精饮料
228,热带水果,,,果蔬
229,罐装啤酒,,,酒精饮料
229,冰淇淋,,,零食
229,面包卷,,,西点
230,罐装啤酒,,,酒精饮料
231,莓果,,,果蔬
231,瓶装水,,,非酒精饮料
231,其他蔬菜,,,果蔬
231,根茎类蔬菜,,,果蔬
231,购物袋,,,百货
231,热带水果,,,果蔬
232,一般饮料,,,非酒精饮料
232,瓶装水,,,非酒精饮料
232,黑面包,,,西点
232,酪,,,西点
232,柑橘类水果,,,果蔬
232,奶油乳酪,,,西点
232,凝乳,,,米粮调料
232,甜点,,,西点
232,一般肉类,,,肉类
232,其他蔬菜,,,果蔬
232,面包卷,,,西点
232,茶,,,非酒精饮料
233,瓶装水,,,非酒精饮料
233,芥末,,,百货
233,全脂牛奶,,,非酒精饮料
234,牛肉,,,肉类
234,一般饮料,,,非酒精饮料
234,花卉种子,,,百货
234,保管产品,,,果蔬
234,面包卷,,,西点
234,香肠,,,肉类
234,切片奶酪,,,西点
234,香辛料,,,米粮调料
235,黄油,,,米粮调料
235,凝乳,,,米粮调料
235,冷冻热狗肠,,,肉类
235,长面包,,,非酒精饮料
235,面包卷,,,西点
235,根茎类蔬菜,,,果蔬
235,咸点心,,,西点
235,香肠,,,肉类
235,切片奶酪,,,西点
236,黄油,,,米粮调料
236,一般肉类,,,肉类
236,其他蔬菜,,,果蔬
236,面包卷,,,西点
237,一般饮料,,,非酒精饮料
237,一般清洁剂,,,百货
237,即食食品,,,熟食
237,腌菜,,,Types
237,根茎类蔬菜,,,果蔬
238,香草,,,米粮调料
238,其他蔬菜,,,果蔬
238,面包卷,,,西点
238,根茎类蔬菜,,,果蔬
238,切片奶酪,,,西点
238,全脂牛奶,,,非酒精饮料
